system:index,Forest Loss Total,year,.geo
0,1653744.0410766602,2001.0,
1,7230620.001078527,2002.0,
2,8124427.858310116,2003.0,
3,2.3935891445907537E7,2004.0,
4,1.4602716427240828E7,2005.0,
5,3.902484880549867E7,2006.0,
6,3.859388536500867E7,2007.0,
7,4.293319477565176E7,2008.0,
8,3.526915405902985E7,2009.0,
9,6.764208912295808E7,2010.0,
10,3.48885825783093E7,2011.0,
11,4.109447850336986E7,2012.0,
12,2.433631366400266E7,2013.0,
13,2.584942952857379E7,2014.0,
14,2.2478361552990004E7,2015.0,
15,2.8093242364626892E7,2016.0,
16,2.3636803850749414E7,2017.0,
17,2.983456035673828E7,2018.0,
