system:index,Forest Loss Total,year,.geo
0,1.081206313710765E9,2001.0,
1,1.1937793560821362E9,2002.0,
2,7.743613793788435E8,2003.0,
3,1.296482919547504E9,2004.0,
4,2.0284160366658702E9,2005.0,
5,1.6131211855232227E9,2006.0,
6,1.366185095311864E9,2007.0,
7,1.7891484753081496E9,2008.0,
8,1.547254215332302E9,2009.0,
9,1.465347419468795E9,2010.0,
10,1.4089178612686064E9,2011.0,
11,1.387280148055883E9,2012.0,
12,1.296353503619896E9,2013.0,
13,1.5321484948566308E9,2014.0,
14,1.5091007075028808E9,2015.0,
15,2.0541693556046536E9,2016.0,
16,2.91236791222885E9,2017.0,
17,2.45023196035898E9,2018.0,
