system:index,Forest Loss Total,year,.geo
0,4.315761237462135E7,2001.0,
1,1.5425294680786371E7,2002.0,
2,8179647.301528272,2003.0,
3,2.61967603998741E7,2004.0,
4,1.5465013582274914E7,2005.0,
5,1.7723820797799863E7,2006.0,
6,3.937139208033471E7,2007.0,
7,3.4759083569819435E7,2008.0,
8,2.6259745347784303E7,2009.0,
9,1.8079649549054556E7,2010.0,
10,2.2847776707733035E7,2011.0,
11,3.3504761117338773E7,2012.0,
12,1.6401808973144531E7,2013.0,
13,1.8822605856018066E7,2014.0,
14,1.6613056010192871E7,2015.0,
15,2.3960378101960305E7,2016.0,
16,3.2449323966123577E7,2017.0,
17,2.93193947110938E7,2018.0,
