system:index,Forest Loss Total,year,.geo
0,2.440679874255012E7,2001.0,
1,3.118306449653895E7,2002.0,
2,1.1220274291259766E7,2003.0,
3,5.308500881649721E7,2004.0,
4,3.0205107550598145E7,2005.0,
5,2.4877486557777554E7,2006.0,
6,3.524308040589982E7,2007.0,
7,4.263596917131874E7,2008.0,
8,4.9090698225425094E7,2009.0,
9,6.935514415458003E7,2010.0,
10,5.556081105819954E7,2011.0,
11,1.129016419928352E8,2012.0,
12,7.658559959489866E7,2013.0,
13,1.1073590867780069E8,2014.0,
14,8.367845550807315E7,2015.0,
15,1.448523443236419E8,2016.0,
16,1.6593938996586984E8,2017.0,
17,2.4192399437164283E8,2018.0,
