system:index,Forest Loss Total,year,.geo
0,1.3962108682338884E8,2001.0,
1,2.072070880548494E8,2002.0,
2,1.659660365881356E8,2003.0,
3,2.4431933302689055E8,2004.0,
4,3.119859416409322E8,2005.0,
5,3.136834573747552E8,2006.0,
6,3.0607436015411806E8,2007.0,
7,2.5058650696888465E8,2008.0,
8,2.968392810628001E8,2009.0,
9,4.131600614879796E8,2010.0,
10,3.850415843126114E8,2011.0,
11,2.8631523723232937E8,2012.0,
12,2.311212551437524E8,2013.0,
13,2.5170013740887105E8,2014.0,
14,2.5630556431601277E8,2015.0,
15,3.7810683188682395E8,2016.0,
16,3.9546979411654127E8,2017.0,
17,4.0468334459069985E8,2018.0,
