system:index,Forest Loss Total,year,.geo
0,1466941.4229535272,2001.0,
1,3086008.978039072,2002.0,
2,1207962.8432624368,2003.0,
3,6407690.27476304,2004.0,
4,6341074.124511719,2005.0,
5,7429500.639698463,2006.0,
6,1.0693456373280484E7,2007.0,
7,6457682.372972436,2008.0,
8,8583568.616678156,2009.0,
9,1.9338009643950574E7,2010.0,
10,6665764.685034898,2011.0,
11,4662188.566879452,2012.0,
12,2740601.778260474,2013.0,
13,4185268.9254791862,2014.0,
14,4751079.73495974,2015.0,
15,7241664.6065774355,2016.0,
16,6089452.809358006,2017.0,
17,6150682.392593683,2018.0,
