system:index,Forest Loss Total,year,.geo
0,5.3776849995027676E7,2001.0,
1,8.633962661749387E7,2002.0,
2,5.451626799663804E7,2003.0,
3,1.073897468268715E8,2004.0,
4,7.565368271479444E7,2005.0,
5,9.295917138471776E7,2006.0,
6,1.1865696671317762E8,2007.0,
7,1.1732223004599442E8,2008.0,
8,1.3576667819629025E8,2009.0,
9,1.7157165240036404E8,2010.0,
10,1.0747246299821633E8,2011.0,
11,1.8504285423502436E8,2012.0,
12,1.7277307530365804E8,2013.0,
13,2.2498089462946916E8,2014.0,
14,1.744651858460818E8,2015.0,
15,3.045633914278464E8,2016.0,
16,2.4152864820329493E8,2017.0,
17,2.649223759350088E8,2018.0,
