system:index,Forest Loss Total,year,.geo
0,1.1559253081085469E8,2001.0,
1,1.5732151064368466E8,2002.0,
2,1.1682503986996424E8,2003.0,
3,2.8457358290586436E8,2004.0,
4,1.7697110911681098E8,2005.0,
5,3.117096157725677E8,2006.0,
6,3.063149671129385E8,2007.0,
7,2.4780815527376708E8,2008.0,
8,3.5607554665217495E8,2009.0,
9,3.0597056934894323E8,2010.0,
10,2.1905338185131884E8,2011.0,
11,3.4338825737373334E8,2012.0,
12,4.0055217418608236E8,2013.0,
13,4.9840587430031466E8,2014.0,
14,4.404137957310585E8,2015.0,
15,7.480939240281839E8,2016.0,
16,5.414840048531207E8,2017.0,
17,8.108327713593438E8,2018.0,
