system:index,Forest Loss Total,year,.geo
0,2.2706809075317383E7,2001.0,
1,1.33006914710083E7,2002.0,
2,8981079.455566406,2003.0,
3,1.0515497831970215E7,2004.0,
4,8659640.751159668,2005.0,
5,6595449.3611450195,2006.0,
6,1.4682974157836914E7,2007.0,
7,1.0533891378197525E7,2008.0,
8,1.0515914746765137E7,2009.0,
9,6746432.056152344,2010.0,
10,8623974.356445312,2011.0,
11,3.1085570027016077E7,2012.0,
12,9227981.586598594,2013.0,
13,1.5611548197982728E7,2014.0,
14,1.6473166755766746E7,2015.0,
15,1.2897950422654815E7,2016.0,
16,1.2013430682273716E7,2017.0,
17,2.2896536810424805E7,2018.0,
