system:index,Forest Loss Total,year,.geo
0,3.364984336224365E7,2001.0,
1,5.564144717504883E7,2002.0,
2,3.792033386517334E7,2003.0,
3,1.556890249018174E8,2004.0,
4,1.015600792300676E8,2005.0,
5,1.2657383806370586E8,2006.0,
6,1.3549438646023715E8,2007.0,
7,2.3470645641378245E8,2008.0,
8,2.9846176335411566E8,2009.0,
9,8.33079363580531E8,2010.0,
10,2.972559299298706E8,2011.0,
11,2.73712260719031E8,2012.0,
12,1.1025711991825238E8,2013.0,
13,1.5951274197986197E8,2014.0,
14,1.3769777947938377E8,2015.0,
15,2.358088373804137E8,2016.0,
16,2.4500203603941676E8,2017.0,
17,2.793890472160623E8,2018.0,
