system:index,Forest Loss Total,year,.geo
0,9773718.99432373,2001.0,
1,1.2670832638697008E7,2002.0,
2,9611318.810392732,2003.0,
3,6.065007469092372E7,2004.0,
4,5.7610586931508504E7,2005.0,
5,6.493506508003361E7,2006.0,
6,2.8320967832273215E8,2007.0,
7,1.1911774716988477E8,2008.0,
8,5.196687663380031E7,2009.0,
9,1.79713770532323E8,2010.0,
10,6.214569878759479E7,2011.0,
11,5.3564290214976825E7,2012.0,
12,3.0125518372253418E7,2013.0,
13,3.417020502430084E7,2014.0,
14,2.2195928586791992E7,2015.0,
15,4.521570989227415E7,2016.0,
16,6.412292102427236E7,2017.0,
17,1.5958912203166097E8,2018.0,
