system:index,Forest Loss Total,year,.geo
0,4261904.413513184,2001.0,
1,3865582.1587213255,2002.0,
2,7705492.003008913,2003.0,
3,5000856.590637207,2004.0,
4,1.2931110626392224E8,2005.0,
5,2.060351838909912E7,2006.0,
6,2.18955560356711E7,2007.0,
7,4.566483284063721E7,2008.0,
8,3.9678582870548025E7,2009.0,
9,6.327030564479095E7,2010.0,
10,4.069645934489291E7,2011.0,
11,2.3045744013842773E7,2012.0,
12,6218972.356323242,2013.0,
13,5.8400816890625E7,2014.0,
14,6937078.790527344,2015.0,
15,3.4206802198411405E7,2016.0,
16,2.6771513419921875E7,2017.0,
17,4.66885654774584E7,2018.0,
