system:index,Forest Loss Total,year,.geo
0,2917.2306518554688,2001.0,
1,114573.27252197266,2002.0,
2,116587.5249633789,2003.0,
3,251878.341311466,2004.0,
4,53510.492126464844,2005.0,
5,305316.544921875,2006.0,
6,1009508.5245361328,2007.0,
7,1126366.844043926,2008.0,
8,536895.7970549939,2009.0,
9,2124444.7407173906,2010.0,
10,1000121.6719951555,2011.0,
11,1033066.6841399546,2012.0,
12,1093939.131229655,2013.0,
13,751632.366027832,2014.0,
14,772676.3726591222,2015.0,
15,1538358.208618164,2016.0,
16,686359.0728149414,2017.0,
17,1214210.626159668,2018.0,
