system:index,Forest Loss Total,year,.geo
0,5.592744435555946E7,2001.0,
1,9.40027382157892E7,2002.0,
2,1.3360408981592825E8,2003.0,
3,1.2991838143955512E8,2004.0,
4,1.955131024780781E8,2005.0,
5,1.1411662732034338E8,2006.0,
6,2.9531853264990216E8,2007.0,
7,2.5222200341948622E8,2008.0,
8,1.4703932937158036E8,2009.0,
9,1.5369958952875763E8,2010.0,
10,1.687118382315667E8,2011.0,
11,1.0146660894576295E8,2012.0,
12,6.613866450930535E7,2013.0,
13,8.46589891600373E7,2014.0,
14,7.24368927869373E7,2015.0,
15,1.5778355791644767E8,2016.0,
16,1.6937716329287368E8,2017.0,
17,2.5286364045625597E8,2018.0,
