system:index,Forest Loss Total,year,.geo
0,1.4463752602472693E8,2001.0,
1,2.0753901377668315E8,2002.0,
2,5.458235136196325E7,2003.0,
3,1.7634984713632283E8,2004.0,
4,1.4345880757202807E8,2005.0,
5,2.09772621277714E8,2006.0,
6,1.5821798886517587E8,2007.0,
7,1.7962120012574145E8,2008.0,
8,1.8347659360188475E8,2009.0,
9,2.1125756013168815E8,2010.0,
10,2.6846912165957737E8,2011.0,
11,1.732618370187903E8,2012.0,
12,1.6572921132152924E8,2013.0,
13,2.290475634047739E8,2014.0,
14,2.487461013265297E8,2015.0,
15,3.5379070181491184E8,2016.0,
16,3.781953461187523E8,2017.0,
17,3.9125607993884933E8,2018.0,
