system:index,Forest Loss Total,year,.geo
0,2.1304002769657392E7,2001.0,
1,4.70192451966536E7,2002.0,
2,2.9017273413640283E7,2003.0,
3,1.1392626467003848E8,2004.0,
4,2.246871044959863E8,2005.0,
5,7.266690624904068E7,2006.0,
6,1.9096740263011086E8,2007.0,
7,1.493956423345452E8,2008.0,
8,1.2123131816297103E8,2009.0,
9,1.372828294687325E8,2010.0,
10,2.0000992974293143E8,2011.0,
11,1.2537324577682894E8,2012.0,
12,6.429152696441674E7,2013.0,
13,1.1893034690408313E8,2014.0,
14,7.117083394109988E7,2015.0,
15,2.05869862164142E8,2016.0,
16,2.4300793328253508E8,2017.0,
17,3.690714418756351E8,2018.0,
