system:index,Forest Loss Total,year,.geo
0,2.4060266776088823E7,2001.0,
1,1.6196719408654546E7,2002.0,
2,1.3111876141319364E7,2003.0,
3,5.084495660163191E7,2004.0,
4,2.3565693586029414E7,2005.0,
5,1.8082555718799308E7,2006.0,
6,2.477100859003715E7,2007.0,
7,3.000571595574664E7,2008.0,
8,2.380488635171114E7,2009.0,
9,3.0884756683466893E7,2010.0,
10,2.378353498342381E7,2011.0,
11,4.141381664871227E7,2012.0,
12,2.680810144389816E7,2013.0,
13,4.1122053814552456E7,2014.0,
14,2.1071673161074415E7,2015.0,
15,4.710982159585703E7,2016.0,
16,4.7901532140341125E7,2017.0,
17,6.922037758499157E7,2018.0,
