system:index,Forest Loss Total,year,.geo
0,5.1600578139004335E7,2001.0,
1,6.002470067718649E7,2002.0,
2,4.697666983331418E7,2003.0,
3,1.074470693739557E8,2004.0,
4,9.143660833287162E7,2005.0,
5,6.95153113019378E7,2006.0,
6,8.374071889436585E7,2007.0,
7,8.032804205925319E7,2008.0,
8,9.577827270592113E7,2009.0,
9,1.0823557406702043E8,2010.0,
10,8.062878063081126E7,2011.0,
11,1.1633713158598419E8,2012.0,
12,8.794450738753568E7,2013.0,
13,1.5035821856193826E8,2014.0,
14,1.0647704069433282E8,2015.0,
15,1.403611363911779E8,2016.0,
16,1.4133096863382617E8,2017.0,
17,1.3916584822466466E8,2018.0,
