system:index,Forest Loss Total,year,.geo
0,6.05159537275922E7,2001.0,
1,9.089641365471692E7,2002.0,
2,8.36008615878205E7,2003.0,
3,1.2345985141056651E8,2004.0,
4,1.939233626679923E8,2005.0,
5,1.6853661938197201E8,2006.0,
6,1.5508336959845638E8,2007.0,
7,1.4839485448664188E8,2008.0,
8,1.4058783443443915E8,2009.0,
9,2.1057423765675765E8,2010.0,
10,2.1455166233045807E8,2011.0,
11,1.7123714211675557E8,2012.0,
12,1.3626764184046224E8,2013.0,
13,1.5568308781018353E8,2014.0,
14,1.5575344756715587E8,2015.0,
15,2.4788855186001727E8,2016.0,
16,2.5169332742791024E8,2017.0,
17,1.9555672073474804E8,2018.0,
