system:index,Forest Loss Total,year,.geo
0,1.2945353275191005E8,2001.0,
1,2.1828058054548416E8,2002.0,
2,2.4460027968883392E8,2003.0,
3,3.171814077772214E8,2004.0,
4,6.921475601887292E8,2005.0,
5,3.0927638808529866E8,2006.0,
6,5.068489306120426E8,2007.0,
7,4.351890143359284E8,2008.0,
8,4.320691434381898E8,2009.0,
9,6.664454020282747E8,2010.0,
10,5.3416761535859036E8,2011.0,
11,5.145219389372475E8,2012.0,
12,3.24369229696138E8,2013.0,
13,5.2061259893702126E8,2014.0,
14,4.0139020979117143E8,2015.0,
15,8.10587067251155E8,2016.0,
16,8.982777494138844E8,2017.0,
17,9.15664904037146E8,2018.0,
