system:index,Forest Loss Total,year,.geo
0,1.4992762704685488E8,2001.0,
1,1.409952672080023E8,2002.0,
2,8.31087837921638E7,2003.0,
3,1.6474054899804184E8,2004.0,
4,1.7421525003022772E8,2005.0,
5,1.1663792233658375E8,2006.0,
6,3.505467039880589E8,2007.0,
7,1.603926397014993E8,2008.0,
8,1.4714182450920936E8,2009.0,
9,1.6560601709046775E8,2010.0,
10,1.5831566773567754E8,2011.0,
11,2.826852883977585E8,2012.0,
12,1.1290039549619737E8,2013.0,
13,1.7832452588890642E8,2014.0,
14,1.0180153960687853E8,2015.0,
15,2.1581472714149433E8,2016.0,
16,1.790113784334408E8,2017.0,
17,1.8190063541161442E8,2018.0,
