system:index,Forest Loss Total,year,.geo
0,4897782.298167748,2001.0,
1,5766951.851693426,2002.0,
2,4502781.670558076,2003.0,
3,1.1136904603819843E7,2004.0,
4,1.650685109767899E7,2005.0,
5,1.116747324064415E7,2006.0,
6,1.763330090606737E7,2007.0,
7,1.6403788416405773E7,2008.0,
8,1.76607818376484E7,2009.0,
9,1.2804499906508023E7,2010.0,
10,1.2714784410491824E7,2011.0,
11,6822297.753878245,2012.0,
12,4809915.619851265,2013.0,
13,5.092639343648131E7,2014.0,
14,9359052.412016746,2015.0,
15,5.111342445663202E7,2016.0,
16,4.573907491074171E7,2017.0,
17,8.072538221572624E7,2018.0,
