system:index,Forest Loss Total,year,.geo
0,6726086.380786851,2001.0,
1,1.90317861737118E7,2002.0,
2,1.4506203881744744E7,2003.0,
3,3.997965406595196E7,2004.0,
4,2.514418961919903E7,2005.0,
5,6.1388198648447074E7,2006.0,
6,5.3911429092895985E7,2007.0,
7,6.690966547868892E7,2008.0,
8,4.882738599604803E7,2009.0,
9,1.0405865320789796E8,2010.0,
10,4.851340318875206E7,2011.0,
11,5.4893727177963436E7,2012.0,
12,3.1998807645687807E7,2013.0,
13,4.0392419624966495E7,2014.0,
14,3.23643901941557E7,2015.0,
15,4.145309962111792E7,2016.0,
16,3.776649794172363E7,2017.0,
17,4.2385325683264405E7,2018.0,
