system:index,Forest Loss Total,year,.geo
0,3.7189623108310595E7,2001.0,
1,1.0205268769684797E7,2002.0,
2,1.4809202435096651E7,2003.0,
3,2.2840191407864086E7,2004.0,
4,8.641717835355176E7,2005.0,
5,4.9897091671639234E7,2006.0,
6,4.195482877769237E7,2007.0,
7,5.858010587037917E7,2008.0,
8,6.5208690439829275E7,2009.0,
9,4.3580494094351985E7,2010.0,
10,3.0876349189716652E7,2011.0,
11,4.361649570317647E7,2012.0,
12,1.9945606128132537E7,2013.0,
13,5.2687664327085614E7,2014.0,
14,2.5446486946061436E7,2015.0,
15,4.607166083965478E7,2016.0,
16,4.308016985832363E7,2017.0,
17,3.120916021933689E7,2018.0,
