system:index,Forest Loss Total,year,.geo
0,6.716813123590088E7,2001.0,
1,3.8401680534189984E7,2002.0,
2,1.5901681680173866E7,2003.0,
3,5.0469786108902514E7,2004.0,
4,6.074880513091538E7,2005.0,
5,4.231343113791241E7,2006.0,
6,9.848070140008569E7,2007.0,
7,6.2666316270035565E7,2008.0,
8,6.833324756468937E7,2009.0,
9,3.618580607046401E7,2010.0,
10,2.9856182357547536E7,2011.0,
11,5.662979103363683E7,2012.0,
12,4.626373633577929E7,2013.0,
13,5.5898882732907526E7,2014.0,
14,4.3607966085819736E7,2015.0,
15,9.099409711595555E7,2016.0,
16,5.899925853612084E7,2017.0,
17,8.000403419748272E7,2018.0,
