system:index,Forest Loss Total,year,.geo
0,2.534043442613741E7,2001.0,
1,5.3838441131499164E7,2002.0,
2,3.23028836278136E7,2003.0,
3,1.2282515620623852E8,2004.0,
4,2.3734875972666532E8,2005.0,
5,7.859765460947768E7,2006.0,
6,2.0022892215388727E8,2007.0,
7,1.5846566576856807E8,2008.0,
8,1.2927875881760226E8,2009.0,
9,1.4570270378577906E8,2010.0,
10,2.104494996620132E8,2011.0,
11,1.3438420134976804E8,2012.0,
12,7.150157119489266E7,2013.0,
13,1.298274007321873E8,2014.0,
14,7.626216076334131E7,2015.0,
15,2.166649594803388E8,2016.0,
16,2.5185142902282685E8,2017.0,
17,3.755549573793928E8,2018.0,
