system:index,Forest Loss Total,year,.geo
0,1.3357530335589848E9,2001.0,
1,1.3883479085486047E9,2002.0,
2,8.834645469491526E8,2003.0,
3,1.458806207941619E9,2004.0,
4,2.294524181071765E9,2005.0,
5,1.8138134344568365E9,2006.0,
6,1.5085631175587153E9,2007.0,
7,2.0027690030785928E9,2008.0,
8,1.7611124441871614E9,2009.0,
9,1.672357352575843E9,2010.0,
10,1.5915234880311246E9,2011.0,
11,1.6016341440820968E9,2012.0,
12,1.4824110654345272E9,2013.0,
13,1.8572848157015276E9,2014.0,
14,1.7131902781465793E9,2015.0,
15,2.3924790532566047E9,2016.0,
16,3.3311296630069337E9,2017.0,
17,2.677515025350332E9,2018.0,
