system:index,Forest Loss Total,year,.geo
0,1.3408877244856724E8,2001.0,
1,1.3596703164547694E8,2002.0,
2,5.653948684969218E7,2003.0,
3,4.176323237997142E8,2004.0,
4,3.738673604575544E8,2005.0,
5,4.0007255323659474E8,2006.0,
6,8.689537922899878E8,2007.0,
7,5.875740083569101E8,2008.0,
8,2.785711517228114E8,2009.0,
9,7.357863224328053E8,2010.0,
10,3.334692467467925E8,2011.0,
11,2.5360711101369125E8,2012.0,
12,1.4817507685983315E8,2013.0,
13,2.0269495159944782E8,2014.0,
14,1.259738539308472E8,2015.0,
15,2.598956003963408E8,2016.0,
16,3.1869785092177606E8,2017.0,
17,5.0905606497168714E8,2018.0,
