system:index,Forest Loss Total,year,.geo
0,6.220882751078432E7,2001.0,
1,3.5788555937433936E7,2002.0,
2,1.93172945674697E7,2003.0,
3,5.578802593448869E7,2004.0,
4,3.2000467488100775E7,2005.0,
5,3.742034769565454E7,2006.0,
6,6.346179562111744E7,2007.0,
7,6.0327765931458235E7,2008.0,
8,4.486709042731646E7,2009.0,
9,3.5606184162424125E7,2010.0,
10,4.068101893590663E7,2011.0,
11,5.478673923948762E7,2012.0,
12,2.6172425308715586E7,2013.0,
13,3.229952304390295E7,2014.0,
14,2.7713423596906114E7,2015.0,
15,3.6489160423411414E7,2016.0,
16,5.00391363842491E7,2017.0,
17,4.489907580783595E7,2018.0,
