system:index,Forest Loss Total,year,.geo
0,2.492042981402827E7,2001.0,
1,1.6850784469500855E7,2002.0,
2,1.3440294115128342E7,2003.0,
3,5.2247924428439744E7,2004.0,
4,2.4318862198865227E7,2005.0,
5,1.866806072159089E7,2006.0,
6,2.543767557401123E7,2007.0,
7,3.0798550444069535E7,2008.0,
8,2.452336116907289E7,2009.0,
9,3.1779178112264473E7,2010.0,
10,2.450061215431674E7,2011.0,
11,4.2514865245772295E7,2012.0,
12,2.7857450933785707E7,2013.0,
13,4.2869190614163265E7,2014.0,
14,2.163936526118212E7,2015.0,
15,4.82189369059149E7,2016.0,
16,4.9071788370441034E7,2017.0,
17,6.983941671897571E7,2018.0,
