system:index,Forest Loss Total,year,.geo
0,5.3266804750549555E7,2001.0,
1,6.172234415283179E7,2002.0,
2,4.777061423517444E7,2003.0,
3,1.0981490350971705E8,2004.0,
4,9.349669609133826E7,2005.0,
5,7.05290233765443E7,2006.0,
6,8.523863873562753E7,2007.0,
7,8.15612727745955E7,2008.0,
8,9.709943984349796E7,2009.0,
9,1.1026258237109877E8,2010.0,
10,8.16134779566849E7,2011.0,
11,1.1849102440836349E8,2012.0,
12,9.05119051806363E7,2013.0,
13,1.5331597181270397E8,2014.0,
14,1.0774107508923745E8,2015.0,
15,1.418970750787619E8,2016.0,
16,1.4292656694370812E8,2017.0,
17,1.399266070677416E8,2018.0,
