system:index,Forest Loss Total,year,.geo
0,7.519665913146254E7,2001.0,
1,8.743594403112626E7,2002.0,
2,2.8147351685259648E7,2003.0,
3,1.3330149330901141E8,2004.0,
4,8.283101668055755E7,2005.0,
5,6.956506942189631E7,2006.0,
6,8.478817059889156E7,2007.0,
7,1.0178962499024777E8,2008.0,
8,1.1588172439180024E8,2009.0,
9,1.345145807136872E8,2010.0,
10,1.0318079923277803E8,2011.0,
11,1.872520911312361E8,2012.0,
12,1.2662084194815387E8,2013.0,
13,1.841230004552727E8,2014.0,
14,1.3372692475980704E8,2015.0,
15,2.2272116492517257E8,2016.0,
16,2.6031446319640496E8,2017.0,
17,3.3291461151877487E8,2018.0,
