system:index,Forest Loss Total,year,.geo
0,5717757.113130936,2001.0,
1,6808511.362778846,2002.0,
2,2724552.965698242,2003.0,
3,1.1266579580993414E7,2004.0,
4,1.295749938972216E7,2005.0,
5,1.335253638204681E7,2006.0,
6,1.5544583656539138E7,2007.0,
7,1.0605372138424383E7,2008.0,
8,1.441756080968233E7,2009.0,
9,3.143470904313247E7,2010.0,
10,1.0507083972635187E7,2011.0,
11,8960565.826762838,2012.0,
12,4596575.523783365,2013.0,
13,7528124.23547842,2014.0,
14,7988620.01917246,2015.0,
15,1.2159555002994793E7,2016.0,
16,1.1064929909822352E7,2017.0,
17,1.0540173040293975E7,2018.0,
