system:index,Forest Loss Total,year,.geo
0,1.4546891493781617E8,2001.0,
1,2.3874612799454877E8,2002.0,
2,2.5897771057739237E8,2003.0,
3,3.369716246610229E8,2004.0,
4,7.2461359532027E8,2005.0,
5,3.256012332789379E8,2006.0,
6,5.3057790251257527E8,2007.0,
7,4.5217570335284823E8,2008.0,
8,4.488825541756263E8,2009.0,
9,6.935315277439044E8,2010.0,
10,5.511169209025706E8,2011.0,
11,5.34171542916327E8,2012.0,
12,3.357035205080598E8,2013.0,
13,5.371418053109832E8,2014.0,
14,4.084662542426772E8,2015.0,
15,8.273705093990287E8,2016.0,
16,9.184541562037897E8,2017.0,
17,9.242123708785026E8,2018.0,
