system:index,Forest Loss Total,year,.geo
0,1.0521510152910706E8,2001.0,
1,1.5694981980999613E8,2002.0,
2,9.490514690758488E7,2003.0,
3,1.9614888574180287E8,2004.0,
4,1.4078783102360314E8,2005.0,
5,1.5146118025652382E8,2006.0,
6,1.9789882435933548E8,2007.0,
7,1.9792908175994655E8,2008.0,
8,2.2288504244719023E8,2009.0,
9,2.6101994078314948E8,2010.0,
10,1.6295881397326759E8,2011.0,
11,2.7088342875212884E8,2012.0,
12,2.6938626148173326E8,2013.0,
13,3.5360901600003487E8,2014.0,
14,2.84112752103305E8,2015.0,
15,4.6239543037817234E8,2016.0,
16,3.7526097482013446E8,2017.0,
17,4.120496413900446E8,2018.0,
