system:index,Forest Loss Total,year,.geo
0,1.589898798676291E8,2001.0,
1,1.4761512477713263E8,2002.0,
2,8.652161833079906E7,2003.0,
3,1.7291915761412737E8,2004.0,
4,1.8022196531318888E8,2005.0,
5,1.2117404390435551E8,2006.0,
6,3.563989328838874E8,2007.0,
7,1.6622766459657773E8,2008.0,
8,1.517898004938285E8,2009.0,
9,1.7218969237166747E8,2010.0,
10,1.6295966258302072E8,2011.0,
11,2.910428746850378E8,2012.0,
12,1.2241770830753987E8,2013.0,
13,1.8643047983217654E8,2014.0,
14,1.0496439163990287E8,2015.0,
15,2.231638879641094E8,2016.0,
16,1.8439759987743974E8,2017.0,
17,1.8445884510569423E8,2018.0,
