system:index,Forest Loss Total,year,.geo
0,2.22965271321701E8,2001.0,
1,2.912549009580283E8,2002.0,
2,2.0096988959309345E8,2003.0,
3,4.732613456483131E8,2004.0,
4,2.940386522862632E8,2005.0,
5,4.842425622910332E8,2006.0,
6,4.647721010608354E8,2007.0,
7,3.7573468712232375E8,2008.0,
8,5.440376556684488E8,2009.0,
9,4.7812637619057E8,2010.0,
10,3.26049770477688E8,2011.0,
11,4.848837705365991E8,2012.0,
12,5.838233237058395E8,2013.0,
13,6.924914587115905E8,2014.0,
14,5.934455137845219E8,2015.0,
15,9.650015705157744E8,2016.0,
16,7.312798904763215E8,2017.0,
17,1.0313841508271525E9,2018.0,
