system:index,Forest Loss Total,year,.geo
0,1.2568795459035597E9,2001.0,
1,1.6687972360076027E9,2002.0,
2,8.814436026852688E8,2003.0,
3,2.64105496857536E9,2004.0,
4,2.4123118776122284E9,2005.0,
5,2.464873006324429E9,2006.0,
6,1.809987224883927E9,2007.0,
7,2.911413763140159E9,2008.0,
8,2.0634451627423706E9,2009.0,
9,2.6246125776560473E9,2010.0,
10,2.0463149032326128E9,2011.0,
11,2.3350257493868475E9,2012.0,
12,1.9651723525962393E9,2013.0,
13,2.325977200561049E9,2014.0,
14,2.1412862267792199E9,2015.0,
15,3.077848049977833E9,2016.0,
16,3.282027900035663E9,2017.0,
17,2.844414863043449E9,2018.0,
