"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","tsc_tree_cover_loss_drivers__type"
2006,78667762.1903969,835123.5796812441,144224230.68239442,"Wildfire"
2007,94311129.55943865,585257.2445051476,172903737.52563748,"Wildfire"
2004,86548077.73047808,894880.3777363558,158671475.83920982,"Wildfire"
2005,71167778.41829994,916552.8827211084,130474260.43354991,"Wildfire"
2012,60390226.27638032,332625.41603273374,110715414.84003049,"Wildfire"
2002,91294005.54028246,532694.5667344173,167372343.4905177,"Wildfire"
2010,50111143.22661124,606177.7814537729,91870429.24878731,"Wildfire"
2013,50369536.054074585,388189.7988813946,92344149.43247008,"Wildfire"
2008,104438049.72155519,431269.5588433361,191469757.82285118,"Wildfire"
2011,41385431.49556925,269277.13083542476,75873291.07521033,"Wildfire"
2001,41389068.240327954,271005.57418802707,75879958.44060126,"Wildfire"
2009,44382573.57768148,277677.84190532466,81368051.55908275,"Wildfire"
2018,115375202.80905989,508416.54326514195,211521205.14994287,"Wildfire"
2014,54950112.244041674,251640.6197672495,100741872.44740984,"Wildfire"
2003,52130970.14400089,381561.346108395,95573445.26400164,"Wildfire"
2015,75496866.11537765,903697.8608228101,138410921.21152574,"Wildfire"
2017,92926485.55636221,512302.48305718065,170365223.5199974,"Wildfire"
2016,84749440.44884208,549031.6460426798,155373974.1562105,"Wildfire"
2019,83878777.1244776,633220.0820731914,153777758.06154212,"Wildfire"
2005,250051730.68451512,1538743.3224968037,458428172.92161095,"Forestry"
2004,269830559.89336836,1610717.0996708274,494689359.80450875,"Forestry"
2012,220918134.6707014,1456358.491020501,405016580.22961926,"Forestry"
2006,251445519.4252682,1533349.0576019024,460983452.2796584,"Forestry"
2010,222638983.42105246,1401558.8261154038,408171469.60526276,"Forestry"
2008,267005177.14090073,1594247.797489922,489509491.4249847,"Forestry"
2002,226219358.69542202,1321620.9592502308,414735490.94160694,"Forestry"
2007,259001567.60624585,1621060.1240894338,474836207.2781173,"Forestry"
2017,243680520.7116621,1583546.5027683128,446747621.30471385,"Forestry"
2001,237886702.12540695,1465694.4982993493,436125620.5632461,"Forestry"
2009,196472766.66848144,1191926.3739544798,360200072.22554946,"Forestry"
2018,226007577.05553377,1405791.0893178103,414347224.6018119,"Forestry"
2011,196290084.381889,1247665.3741998542,359865154.70012987,"Forestry"
2003,189920898.49661925,1109287.5226707845,348188313.9104686,"Forestry"
2013,183850331.2620412,1207592.3231684158,337058940.64707565,"Forestry"
2014,207323035.06389767,1322880.6142595052,380092230.9504791,"Forestry"
2016,241311627.44708136,1530180.9709322983,442404650.3196491,"Forestry"
2015,189971230.60062864,1238584.9039379968,348280589.4344858,"Forestry"
2019,203875778.33965775,1308654.2293677155,373772260.2893725,"Forestry"
2004,1879499.2947648533,16160.193965590666,3445748.707068898,"Unknown"
2005,1516301.7291889766,13880.682718608074,2779886.503513123,"Unknown"
2012,1725155.5648202668,16271.54500094451,3162785.2021704894,"Unknown"
2006,1240222.8419200713,12073.59007114901,2273741.8768534632,"Unknown"
2013,1602404.7694662255,18764.018620478866,2937742.0773547473,"Unknown"
2008,1447155.7717857703,12755.742083961148,2653118.914940579,"Unknown"
2002,1364518.8557927555,12293.049324089789,2501617.9022867177,"Unknown"
2007,1417797.5632929166,13487.513460198292,2599295.5327036805,"Unknown"
2011,1154577.8696783148,10137.59835838587,2116726.0944102434,"Unknown"
2010,1210393.1319935312,11360.819139601263,2219054.075321474,"Unknown"
2009,1072070.0585839876,9791.676615403518,1965461.7740706438,"Unknown"
2001,1491660.438040514,13413.44998765879,2734710.803074276,"Unknown"
2014,1414593.3642208523,14584.229422223003,2593421.1677382286,"Unknown"
2003,818991.0754006008,7490.437649548428,1501483.6382344346,"Unknown"
2018,1310632.843503433,13159.508429523004,2402826.8797562937,"Unknown"
2017,1480846.8637964416,15159.046558860613,2714885.916960142,"Unknown"
2019,1471958.636162791,13740.010991948553,2698590.832965116,"Unknown"
2016,1164144.8593483919,11525.152008006218,2134265.5754720513,"Unknown"
2015,819020.9119891226,7865.059712368681,1501538.3386467248,"Unknown"
2004,24795878.47482208,188723.18366717207,45459110.53717381,"Urbanization"
2005,24663449.56437143,188621.03019458268,45216324.20134761,"Urbanization"
2008,19566806.54735116,151001.56034802712,35872478.6701438,"Urbanization"
2001,21274670.43293767,160363.6243329755,39003562.460385725,"Urbanization"
2006,25259002.553494293,195237.14907759224,46308171.34807287,"Urbanization"
2012,16906638.477697313,134972.6270533211,30995503.875778414,"Urbanization"
2007,22910753.049948152,180251.33952681712,42003047.25823828,"Urbanization"
2011,15275948.232111646,117388.08585873237,28005905.09220469,"Urbanization"
2010,16659018.56786843,127523.72956165414,30541534.04109212,"Urbanization"
2002,19232434.200718164,145435.94816973482,35259462.70131664,"Urbanization"
2017,20872891.59467187,177069.39971169527,38266967.92356509,"Urbanization"
2019,15800656.402135259,135183.32186300436,28967870.07058131,"Urbanization"
2003,17671333.871036004,131576.15749052176,32397445.43023267,"Urbanization"
2009,13569770.777849229,106327.20846074968,24877913.092723586,"Urbanization"
2014,15384249.8782628,126077.57547671768,28204458.110148463,"Urbanization"
2018,17504428.55840073,144021.17058270428,32091452.357068013,"Urbanization"
2016,18026730.971665286,151873.33297374487,33049006.78138635,"Urbanization"
2013,12853123.291174423,105320.66824362775,23564059.367153108,"Urbanization"
2015,15110057.089217233,123318.86826566969,27701771.33023159,"Urbanization"
2005,3221129.719667852,28884.94667050713,5905404.486057727,"Commodity driven deforestation"
2001,3000777.938392887,28218.466761668227,5501426.220386961,"Commodity driven deforestation"
2006,2553025.4946038034,25508.64929271337,4680546.740106971,"Commodity driven deforestation"
2004,3399003.143081991,29933.48537845957,6231505.762316984,"Commodity driven deforestation"
2017,1746782.5784799855,18203.840304154997,3202434.7272133064,"Commodity driven deforestation"
2010,1773872.5149398926,17663.578025842395,3252099.6107231346,"Commodity driven deforestation"
2013,1410819.2597643759,14902.303251894145,2586501.9762346894,"Commodity driven deforestation"
2011,1488180.9363090475,15486.831260892626,2728331.7165665873,"Commodity driven deforestation"
2008,1955079.8932642671,19386.49243862155,3584313.137651155,"Commodity driven deforestation"
2012,1799365.0874421657,20341.62090318215,3298835.9936439707,"Commodity driven deforestation"
2007,3029589.5619928744,29926.72064273552,5554247.530320269,"Commodity driven deforestation"
2009,1537121.516903408,18197.525180761124,2818056.114322915,"Commodity driven deforestation"
2002,2657522.3344784095,22469.103561396943,4872124.279877086,"Commodity driven deforestation"
2016,1530910.4978731866,16579.384352483874,2806669.2461008425,"Commodity driven deforestation"
2003,1634298.3671645806,16199.62091135289,2996213.6731350645,"Commodity driven deforestation"
2018,1755768.5926734426,17376.997761229555,3218909.086567977,"Commodity driven deforestation"
2014,1808076.3693866706,18372.03932774595,3314806.6772088953,"Commodity driven deforestation"
2015,1320467.8852595673,13539.06612114685,2420857.7896425445,"Commodity driven deforestation"
2019,1557667.1623155437,15247.484594322988,2855723.130911831,"Commodity driven deforestation"
2004,560911.5479751274,5842.947760242892,1028337.8379544003,"Shifting agriculture"
2012,263920.50630386616,3524.6492547120765,483854.2615570879,"Shifting agriculture"
2008,298662.6004722215,5062.344124455469,547548.1008657395,"Shifting agriculture"
2001,407822.19323070766,4623.13044229175,747674.0209229641,"Shifting agriculture"
2002,363687.20757362724,3922.063995935425,666759.8805516497,"Shifting agriculture"
2010,238216.44636646655,3377.454017051392,436730.15167185536,"Shifting agriculture"
2006,353389.15761155845,4563.528669070193,647880.1222878571,"Shifting agriculture"
2005,403225.7666983286,4861.346154689183,739247.2389469359,"Shifting agriculture"
2009,246894.65458581474,5060.3370653027005,452640.20007399353,"Shifting agriculture"
2014,165391.00434077665,2971.728896822862,303216.84129142377,"Shifting agriculture"
2007,375456.29029661336,5145.037456489059,688336.5322104578,"Shifting agriculture"
2011,204590.07968574128,3737.2838869463567,375081.81275719235,"Shifting agriculture"
2013,117209.09008672278,1676.3859141161286,214883.33182565845,"Shifting agriculture"
2003,255028.83397912886,3268.8246721239793,467552.8622950696,"Shifting agriculture"
2016,243397.44333358642,4876.263398494718,446228.6461115751,"Shifting agriculture"
2015,170263.54257958705,2643.369063198923,312149.8280625763,"Shifting agriculture"
2017,284193.92849530233,5076.758029731696,521022.2022413879,"Shifting agriculture"
2018,254090.001338711,3594.1630866862,465831.66912097007,"Shifting agriculture"
2019,217066.49817056675,3873.1537385480624,397955.2466460388,"Shifting agriculture"
