system:index,Forest Loss Total,year,.geo
0,6.19306583256903E7,2001.0,
1,3.7057199306477875E7,2002.0,
2,4.221603177480229E7,2003.0,
3,6.191756061561782E7,2004.0,
4,4.967176875188922E7,2005.0,
5,3.73895170517061E7,2006.0,
6,6.311138873936048E7,2007.0,
7,4.266322243888538E7,2008.0,
8,4.495818324354847E7,2009.0,
9,3.0567041654216934E7,2010.0,
10,3.1037794659438673E7,2011.0,
11,9.237043607315555E7,2012.0,
12,3.399417912388748E7,2013.0,
13,6.3212812457357965E7,2014.0,
14,6.937014385222097E7,2015.0,
15,6.837967764292446E7,2016.0,
16,6.777528132192263E7,2017.0,
17,9.10268053740287E7,2018.0,
18,3.837259882209042E7,2019.0,
