system:index,Forest Loss Total,year,.geo
0,2.726201784723647E8,2001.0,
1,2.825392936546559E8,2002.0,
2,1.9582211046206704E8,2003.0,
3,6.339619790062307E8,2004.0,
4,3.8363827659747195E8,2005.0,
5,4.751311683544826E8,2006.0,
6,4.378003439580434E8,2007.0,
7,7.990552389197199E8,2008.0,
8,6.292598780354182E8,2009.0,
9,1.374614575846033E9,2010.0,
10,6.241127731383157E8,2011.0,
11,6.59940481114729E8,2012.0,
12,3.044253319379035E8,2013.0,
13,4.449666494621499E8,2014.0,
14,3.749666218934192E8,2015.0,
15,6.004286447596471E8,2016.0,
16,6.527159478590174E8,2017.0,
17,6.834393997706748E8,2018.0,
18,8.019979047272116E8,2019.0,
