system:index,Forest Loss Total,year,.geo
0,1.3406050183430943E8,2001.0,
1,1.3596263462899745E8,2002.0,
2,5.6537839640707806E7,2003.0,
3,4.17580777780244E8,2004.0,
4,3.737728988872419E8,2005.0,
5,3.999807123382793E8,2006.0,
6,8.688879642338355E8,2007.0,
7,5.875265150867685E8,2008.0,
8,2.7855083400186414E8,2009.0,
9,7.357786040460865E8,2010.0,
10,3.334005194302642E8,2011.0,
11,2.533012675617259E8,2012.0,
12,1.481491291990055E8,2013.0,
13,2.0268330688564166E8,2014.0,
14,1.2596169523754886E8,2015.0,
15,2.5986726124582806E8,2016.0,
16,3.1866744967781854E8,2017.0,
17,5.090462567619704E8,2018.0,
18,1.0536313637901417E9,2019.0,
