system:index,Forest Loss Total,year,.geo
0,6.203545512278383E7,2001.0,
1,3.568740421587632E7,2002.0,
2,1.9308070993861303E7,2003.0,
3,5.576051010965958E7,2004.0,
4,3.194368914068866E7,2005.0,
5,3.720222680795922E7,2006.0,
6,6.341858770089039E7,2007.0,
7,5.997864171841178E7,2008.0,
8,4.475102985266328E7,2009.0,
9,3.558367933210186E7,2010.0,
10,4.067542763195155E7,2011.0,
11,5.472907879039093E7,2012.0,
12,2.6161816433288336E7,2013.0,
13,3.2296721723651484E7,2014.0,
14,2.7701534879254747E7,2015.0,
15,3.6482789224558875E7,2016.0,
16,5.003844066458357E7,2017.0,
17,4.4826190662633315E7,2018.0,
18,5.062024043926427E7,2019.0,
