system:index,Forest Loss Total,year,.geo
0,2.068370087534231E8,2001.0,
1,2.685166987148973E8,2002.0,
2,2.0694085305046734E8,2003.0,
3,2.987385264448654E8,2004.0,
4,4.016687701013168E8,2005.0,
5,3.8324225199449867E8,2006.0,
6,3.587974365969304E8,2007.0,
7,2.9179741061178505E8,2008.0,
8,3.4813480306618255E8,2009.0,
9,4.8451036267934304E8,2010.0,
10,4.468957770605325E8,2011.0,
11,3.4300542124941283E8,2012.0,
12,2.781854877047821E8,2013.0,
13,3.226882841442097E8,2014.0,
14,3.0793610519432116E8,2015.0,
15,4.4950272910544467E8,2016.0,
16,4.708809865259668E8,2017.0,
17,4.6578578771613693E8,2018.0,
18,5.683908876150136E8,2019.0,
