system:index,Forest Loss Total,year,.geo
0,1.0493106744628236E8,2001.0,
1,1.565229599241929E8,2002.0,
2,9.463926969457218E7,2003.0,
3,1.9538929443034047E8,2004.0,
4,1.4028522596488732E8,2005.0,
5,1.50427723345391E8,2006.0,
6,1.9748583146590286E8,2007.0,
7,1.9722637738342068E8,2008.0,
8,2.2226528047313017E8,2009.0,
9,2.598905386696241E8,2010.0,
10,1.6235861931854343E8,2011.0,
11,2.6921058772747064E8,2012.0,
12,2.680270301595897E8,2013.0,
13,3.5196487233932924E8,2014.0,
14,2.8268883180569756E8,2015.0,
15,4.602256190843491E8,2016.0,
16,3.732172230632375E8,2017.0,
17,4.105552775132136E8,2018.0,
18,2.8333059146023095E8,2019.0,
