system:index,Forest Loss Total,year,.geo
0,5790496.727197744,2001.0,
1,6864079.920703604,2002.0,
2,5091170.447901826,2003.0,
3,1.2442368366052486E7,2004.0,
4,1.839588490013715E7,2005.0,
5,1.2103446566198971E7,2006.0,
6,1.8862189136974618E7,2007.0,
7,1.7859512568608064E7,2008.0,
8,1.9132114632784497E7,2009.0,
9,1.4096650503808353E7,2010.0,
10,1.4037215665137675E7,2011.0,
11,8067144.411369054,2012.0,
12,6032500.609534649,2013.0,
13,5.343729437460244E7,2014.0,
14,1.0178126119780418E7,2015.0,
15,5.350907606519632E7,2016.0,
16,4.842985059353051E7,2017.0,
17,8.196954187041447E7,2018.0,
18,3.440160472099585E7,2019.0,
