system:index,Forest Loss Total,year,.geo
0,1.2568062832136793E9,2001.0,
1,1.668771001988102E9,2002.0,
2,8.814387329034389E8,2003.0,
3,2.6409866560151486E9,2004.0,
4,2.4122900694958344E9,2005.0,
5,2.4648703155516934E9,2006.0,
6,1.80998492625792E9,2007.0,
7,2.9112916368077617E9,2008.0,
8,2.0634327066090698E9,2009.0,
9,2.6246083155551867E9,2010.0,
10,2.046226278096596E9,2011.0,
11,2.334932365757209E9,2012.0,
12,1.965071142492449E9,2013.0,
13,2.3259727130724936E9,2014.0,
14,2.1412098377822716E9,2015.0,
15,3.0778081473434334E9,2016.0,
16,3.2819555220563235E9,2017.0,
17,2.8442420148936386E9,2018.0,
18,3.2309757612209005E9,2019.0,
