system:index,Forest Loss Total,year,.geo
0,6.539511754810241E7,2001.0,
1,3.817641642964681E7,2002.0,
2,4.27402005095435E7,2003.0,
3,6.3641981526567526E7,2004.0,
4,5.099519324645709E7,2005.0,
5,3.871702453022173E7,2006.0,
6,7.481177225553483E7,2007.0,
7,5.148174436332386E7,2008.0,
8,4.730681464900502E7,2009.0,
9,3.1463164454570938E7,2010.0,
10,3.164461351545674E7,2011.0,
11,9.49662869348499E7,2012.0,
12,3.518857196775955E7,2013.0,
13,6.4284218098227106E7,2014.0,
14,6.969496849565358E7,2015.0,
15,6.9308634951152E7,2016.0,
16,7.125463888289675E7,2017.0,
17,9.228189906183387E7,2018.0,
18,3.867730500312069E7,2019.0,
