system:index,Forest Loss Total,year,.geo
0,2.5340434426137406E7,2001.0,
1,5.3838441131499164E7,2002.0,
2,3.23028836278136E7,2003.0,
3,1.2282515620623852E8,2004.0,
4,2.3734992584159452E8,2005.0,
5,7.859823769407243E7,2006.0,
6,2.0022950519380426E8,2007.0,
7,1.5846566576856807E8,2008.0,
8,1.292810911912595E8,2009.0,
9,1.4570270378577906E8,2010.0,
10,2.104518319941055E8,2011.0,
11,1.343865335604614E8,2012.0,
12,7.150157119489266E7,2013.0,
13,1.298274007321873E8,2014.0,
14,7.626216076334131E7,2015.0,
15,2.1667778751750922E8,2016.0,
16,2.5187358557373017E8,2017.0,
17,3.756045195139143E8,2018.0,
18,7.004618199901818E8,2019.0,
