system:index,Forest Loss Total,year,.geo
0,2.844901136070083E8,2001.0,
1,2.9247064515059716E8,2002.0,
2,2.1975564026490027E8,2003.0,
3,6.669956658872737E8,2004.0,
4,3.9501578664904666E8,2005.0,
5,4.7918211361465484E8,2006.0,
6,4.434991957558267E8,2007.0,
7,8.073451083846247E8,2008.0,
8,6.367134291819837E8,2009.0,
9,1.3984064022969608E9,2010.0,
10,6.339426418954487E8,2011.0,
11,6.675161923533715E8,2012.0,
12,3.0694439095755684E8,2013.0,
13,4.480695346317666E8,2014.0,
14,3.774863312345447E8,2015.0,
15,6.216798468524975E8,2016.0,
16,7.075731009158318E8,2017.0,
17,7.013368450553592E8,2018.0,
18,8.188550468211538E8,2019.0,
