system:index,Forest Loss Total,year,.geo
0,1.3411269175813757E8,2001.0,
1,1.3598129927670252E8,2002.0,
2,5.6552899568259075E7,2003.0,
3,4.1766080574911606E8,2004.0,
4,3.739219116451764E8,2005.0,
5,4.000946574554058E8,2006.0,
6,8.689802888187964E8,2007.0,
7,5.876440523744272E8,2008.0,
8,2.7860118718814343E8,2009.0,
9,7.35983744430486E8,2010.0,
10,3.340953177565581E8,2011.0,
11,2.536968932961009E8,2012.0,
12,1.4823086753652993E8,2013.0,
13,2.027612924702364E8,2014.0,
14,1.259827339345093E8,2015.0,
15,2.6000585414176312E8,2016.0,
16,3.187960028163073E8,2017.0,
17,5.094925747363967E8,2018.0,
18,1.0612065693745533E9,2019.0,
