system:index,Forest Loss Total,year,.geo
0,2.53257511073022E7,2001.0,
1,1.7012610930072144E7,2002.0,
2,1.34834533001259E7,2003.0,
3,5.318929914634411E7,2004.0,
4,2.4413711322095204E7,2005.0,
5,1.8725993548434153E7,2006.0,
6,2.6361890500463866E7,2007.0,
7,3.185978626609102E7,2008.0,
8,2.5106283160772104E7,2009.0,
9,3.2153786501647227E7,2010.0,
10,2.4874072219563324E7,2011.0,
11,4.4413387390181474E7,2012.0,
12,2.810224771375397E7,2013.0,
13,4.2969485504788265E7,2014.0,
14,2.3193497499097157E7,2015.0,
15,4.8906696334686875E7,2016.0,
16,4.997676892665441E7,2017.0,
17,7.297325801554555E7,2018.0,
18,5.491080567356579E7,2019.0,
