system:index,Forest Loss Total,year,.geo
0,5717757.113130936,2001.0,
1,6834226.862473671,2002.0,
2,2724552.965698242,2003.0,
3,1.126938942431617E7,2004.0,
4,1.295749938972216E7,2005.0,
5,1.3360868605435481E7,2006.0,
6,1.557095213206404E7,2007.0,
7,1.06093060117154E7,2008.0,
8,1.441756080968233E7,2009.0,
9,3.146866953141372E7,2010.0,
10,1.0850953982950129E7,2011.0,
11,8997723.13041274,2012.0,
12,4626082.7313028965,2013.0,
13,7555461.414555568,2014.0,
14,7988620.019172459,2015.0,
15,1.215955500299479E7,2016.0,
16,1.1068791021821864E7,2017.0,
17,1.0540173040293973E7,2018.0,
18,2.113104200257712E7,2019.0,
