system:index,Forest Loss Total,year,.geo
0,1.4547233699354124E8,2001.0,
1,2.3874888487485883E8,2002.0,
2,2.589787904995115E8,2003.0,
3,3.369781045030029E8,2004.0,
4,7.246225677779115E8,2005.0,
5,3.2560740901740223E8,2006.0,
6,5.3057959571887404E8,2007.0,
7,4.521802053458292E8,2008.0,
8,4.488825541756263E8,2009.0,
9,6.935632743410723E8,2010.0,
10,5.511180388571603E8,2011.0,
11,5.34171542916327E8,2012.0,
12,3.357035205080598E8,2013.0,
13,5.373482625446868E8,2014.0,
14,4.0855714613336325E8,2015.0,
15,8.275221194195975E8,2016.0,
16,9.184894569706354E8,2017.0,
17,9.242156831195304E8,2018.0,
18,7.389557195310905E8,2019.0,
