system:index,Forest Loss Total,year,.geo
0,1.5921190302290255E8,2001.0,
1,1.47712316723971E8,2002.0,
2,8.655457236735912E7,2003.0,
3,1.729520381294472E8,2004.0,
4,1.8033145501680216E8,2005.0,
5,1.2124401385369633E8,2006.0,
6,3.572571340838386E8,2007.0,
7,1.6686615398726377E8,2008.0,
8,1.5214886605724403E8,2009.0,
9,1.7246257208138427E8,2010.0,
10,1.6323634360596994E8,2011.0,
11,2.9215073027506465E8,2012.0,
12,1.2311099958836262E8,2013.0,
13,1.8700290946413454E8,2014.0,
14,1.0502035456537895E8,2015.0,
15,2.2320867129186818E8,2016.0,
16,1.8445448848803544E8,2017.0,
17,1.8451569945115322E8,2018.0,
18,1.1864114509716846E8,2019.0,
