system:index,Forest Loss Total,year,.geo
0,5798650.14156542,2001.0,
1,7009591.697986318,2002.0,
2,5161427.5976821,2003.0,
3,1.2485026709985593E7,2004.0,
4,1.8398393663076602E7,2005.0,
5,1.2124139582495358E7,2006.0,
6,2.0690060062389657E7,2007.0,
7,1.792347309283902E7,2008.0,
8,1.9132114632784497E7,2009.0,
9,1.4097904541955328E7,2010.0,
10,1.4037842922522929E7,2011.0,
11,8761636.100944249,2012.0,
12,6175565.444556622,2013.0,
13,5.343792452358925E7,2014.0,
14,1.0178126119780418E7,2015.0,
15,5.35141199920762E7,2016.0,
16,4.8563442339868404E7,2017.0,
17,8.19777092199628E7,2018.0,
18,3.440662142381568E7,2019.0,
