system:index,Forest Loss Total,year,.geo
0,2.806095963934245E8,2001.0,
1,3.4134071623019737E8,2002.0,
2,2.223415148406779E8,2003.0,
3,6.503457041269909E8,2004.0,
4,4.7277650044368434E8,2005.0,
5,6.984228153822469E8,2006.0,
6,5.740313898482361E8,2007.0,
7,4.244887711258087E8,2008.0,
8,6.618955693157914E8,2009.0,
9,5.536198437453184E8,2010.0,
10,4.040463328220517E8,2011.0,
11,8.797135217281445E8,2012.0,
12,6.909043588079095E8,2013.0,
13,7.887021314348217E8,2014.0,
14,6.962947678237501E8,2015.0,
15,1.1557626918304923E9,2016.0,
16,1.101014966653761E9,2017.0,
17,1.2704739310328794E9,2018.0,
18,7.611068559664538E8,2019.0,
