system:index,Forest Loss Total,year,.geo
0,1.25780551911761E9,2001.0,
1,1.6701061364197426E9,2002.0,
2,8.824773816571316E8,2003.0,
3,2.647257047872784E9,2004.0,
4,2.413891312785263E9,2005.0,
5,2.467022117103329E9,2006.0,
6,1.813733925855637E9,2007.0,
7,2.919509127991843E9,2008.0,
8,2.0720970556542053E9,2009.0,
9,2.62969416578178E9,2010.0,
10,2.0484019461728287E9,2011.0,
11,2.339110944594001E9,2012.0,
12,1.969889099221453E9,2013.0,
13,2.4117715370413957E9,2014.0,
14,2.151688206501113E9,2015.0,
15,3.085277413382038E9,2016.0,
16,3.2873099713842354E9,2017.0,
17,2.881519903383934E9,2018.0,
18,3.285843988988417E9,2019.0,
