system:index,Forest Loss Total,year,.geo
0,6.213053608982867E7,2001.0,
1,1.0237781693582404E8,2002.0,
2,1.2948223349050267E8,2003.0,
3,1.366722538889151E8,2004.0,
4,2.0678974561313167E8,2005.0,
5,1.202545577442098E8,2006.0,
6,2.7589856279672164E8,2007.0,
7,2.218069042619614E8,2008.0,
8,1.5469456704316485E8,2009.0,
9,1.6217597458709624E8,2010.0,
10,1.774268332060837E8,2011.0,
11,1.0929224054791212E8,2012.0,
12,7.358824352781457E7,2013.0,
13,9.529329597457275E7,2014.0,
14,7.768149289328398E7,2015.0,
15,1.6830145157806206E8,2016.0,
16,1.7997555159194067E8,2017.0,
17,1.802317634193359E8,2018.0,
18,2.2589871867949048E8,2019.0,
