system:index,Forest Loss Total,year,.geo
0,1.479249309887129E8,2001.0,
1,1.7780578950211987E8,2002.0,
2,5.5280754570368394E7,2003.0,
3,1.784708012215782E8,2004.0,
4,1.463247105913137E8,2005.0,
5,2.0913381614152578E8,2006.0,
6,1.6028802636926848E8,2007.0,
7,1.8181168768996394E8,2008.0,
8,1.8680989854535156E8,2009.0,
9,2.139480373233878E8,2010.0,
10,2.5551614563991377E8,2011.0,
11,1.762006847549004E8,2012.0,
12,1.6841639024179807E8,2013.0,
13,2.3257124231265882E8,2014.0,
14,2.503346516407037E8,2015.0,
15,3.378911423402836E8,2016.0,
16,3.629772851216963E8,2017.0,
17,3.911543262555185E8,2018.0,
18,4.298250900974502E8,2019.0,
