system:index,Forest Loss Total,year,.geo
0,2.534043442613741E7,2001.0,
1,5.3838441131499164E7,2002.0,
2,3.2302883627813607E7,2003.0,
3,1.1221747293942322E8,2004.0,
4,2.0784403980383655E8,2005.0,
5,7.85976546094777E7,2006.0,
6,1.8380232628323823E8,2007.0,
7,1.4539687998389602E8,2008.0,
8,1.2157949621341525E8,2009.0,
9,1.4535253664307624E8,2010.0,
10,1.9803986707227382E8,2011.0,
11,1.3438420134976804E8,2012.0,
12,7.150157119489266E7,2013.0,
13,1.298274007321873E8,2014.0,
14,7.626216076334131E7,2015.0,
15,1.6437306522159526E8,2016.0,
16,1.605969505035096E8,2017.0,
17,1.7773685174875486E8,2018.0,
18,2.4539388204487714E8,2019.0,
