system:index,Forest Loss Total,year,.geo
0,2.726201784723647E8,2001.0,
1,2.7081034607732433E8,2002.0,
2,1.9582211046206704E8,2003.0,
3,5.982412088183035E8,2004.0,
4,3.474863532777698E8,2005.0,
5,4.6405122168724626E8,2006.0,
6,4.378003439580434E8,2007.0,
7,7.918271908299372E8,2008.0,
8,4.0998999373329407E8,2009.0,
9,4.819835721697852E8,2010.0,
10,4.7137048379224634E8,2011.0,
11,5.590262058602124E8,2012.0,
12,3.044247614053718E8,2013.0,
13,4.449666494621499E8,2014.0,
14,3.7496351452849E8,2015.0,
15,5.783279723596536E8,2016.0,
16,6.527159478590174E8,2017.0,
17,6.597881336156025E8,2018.0,
18,7.789285390374703E8,2019.0,
