system:index,Forest Loss Total,year,.geo
0,1.3406050183430943E8,2001.0,
1,1.3596263462899745E8,2002.0,
2,5.6537839640707806E7,2003.0,
3,4.0613772194651264E8,2004.0,
4,3.710923029549909E8,2005.0,
5,3.8825794204445606E8,2006.0,
6,6.005841536959465E8,2007.0,
7,5.2441057721352565E8,2008.0,
8,2.7855083400186414E8,2009.0,
9,6.253369453411918E8,2010.0,
10,3.279450706972078E8,2011.0,
11,2.533012675617259E8,2012.0,
12,1.481491291990055E8,2013.0,
13,1.9185308914705527E8,2014.0,
14,1.2596169523754886E8,2015.0,
15,2.598672612458281E8,2016.0,
16,3.049846702157824E8,2017.0,
17,4.2406002475302476E8,2018.0,
18,7.587997471067642E8,2019.0,
