system:index,Forest Loss Total,year,.geo
0,5.3266804750549555E7,2001.0,
1,6.17223441528318E7,2002.0,
2,4.777061423517444E7,2003.0,
3,1.0981490350971705E8,2004.0,
4,9.349549905410682E7,2005.0,
5,7.052902337654431E7,2006.0,
6,8.523863873562753E7,2007.0,
7,8.15612727745955E7,2008.0,
8,9.709859716529973E7,2009.0,
9,1.1026258237109877E8,2010.0,
10,8.16134779566849E7,2011.0,
11,1.1848982789365403E8,2012.0,
12,9.051130664950837E7,2013.0,
13,1.511425023129481E8,2014.0,
14,1.0774107508923747E8,2015.0,
15,1.396144847904929E8,2016.0,
16,1.429259667690255E8,2017.0,
17,1.39925997219475E8,2018.0,
18,1.443868996340837E8,2019.0,
